Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Armenia,ARM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.82709461,26.70904814,25.27053295,25.70869944,25.57713304,25.80953238,24.75655785,24.97160846,26.8172957,26.6414047,25.56104473
American Samoa,ASM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,11.53110189,10.37716942,11.58806231,13.06451254,13.31378154,10.41335824,10.22115171,10.91623254,11.72984946,12.9576021,13.80335868,14.23632716,15.25180155,13.90973504,14.56470425,13.48233758,12.70753026,12.52560542,12.69552051,12.24730724,12.51312804,12.65863364,13.5116061,13.89073144,12.88252441,13.04602902,13.27137402,13.05335304,14.51846488,18.45224574,17.74097533,19.12391632,19.46093611,16.20414704,14.53076878,14.28549382,15.68226063,16.18863876,16.45797948,17.93837237,19.22098762,21.1224405,21.23335669,20.44250472,20.26130916,21.30299461
Australia,AUS,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.77432618,27.64795108,26.86462441,26.82161469,26.77954914,26.41343896,25.96156755,25.19815748,25.36251315,24.61392882,24.57381902,23.65326724,23.62261486,24.05262778,23.94618003,24.63083533,25.63149212,25.68336941,25.61482691,27.04777203,25.17781593,26.52250454,26.38450422,25.1973644,25.57874186,23.69351416,22.32992547,23.47347211,24.14395689,25.31674246,25.40628279,25.52351233,27.87599754
Austria,AUT,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,33.99859457,33.60220589,33.84238279,32.91803891,32.9373058,32.54626138,31.7661309,31.29685218,30.11462257,30.44744465,30.25928456,29.75262207,29.51826472,29.28321943,29.5608633,29.50525741,29.01589795,28.30376891,28.41340016,28.85153199,28.75200887,28.67638394,28.51066285,28.42859216,28.28480203,28.20874614,27.38807848,27.49837986,27.37376782,27.0742426,27.25937083,27.57263882,26.96021414,25.79284583,25.53499425,25.44743204,25.63396853,25.52494179,25.3646396,25.17491325,25.47680498,25.41186777,25.36642939,25.18385977,25.78114125,25.83396863,26.17703858
Azerbaijan,AZE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.04774898,29.60329341,36.53658638,32.14872611,27.65190819,30.99634455,35.1496743,36.99141943,34.95611231,39.1035999,42.53830991,43.46263827,46.1542268,48.53984468,50.76903238,58.52425634,65.1534711,66.12118968,65.71036345,56.3585804,59.7713411,61.73284436,59.45579126,57.05441545,53.58685467,44.89132034,47.55780701,49.7017251,52.25053688,48.82363284,41.95632016,48.81817362,55.93614983
Burundi,BDI,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,9.404353292,9.757409475,10.79396538,11.62590176,12.11938432,12.58268557,11.74228713,12.18203993,14.30673175,14.71543365,11.67073792,12.71593387,14.29487882,14.48121361,12.58092087,11.82187606,12.12884746,15.71135304,14.81469295,17.26291847,17.32687566,17.53485167,18.98600615,20.12341271,19.5729092,16.80067223,11.78259217,13.89043156,14.69128471,16.11961054,15.53957069,15.57319108,15.80400049,15.74171231,16.32301916,16.9330036,15.31529124,17.15619422,15.41520528,16.91952896,15.38615628,14.80968132,15.75081302,15.58480051,15.49821159,11.76642869,12.20736309,10.99313081,11.10721703,10.93598,10.74295,10.59939,10.63778776
Belgium,BEL,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.04581425,25.81088642,26.1098654,25.57068537,24.72584434,24.94383258,24.31215099,23.78733634,23.22665489,22.95999895,22.57377815,22.13992554,22.28195248,21.5954485,20.60002979,20.89458036,20.7778964,20.07524056,19.87919976,19.67482648,19.66988832,19.28822027,19.23536249,18.93393077,19.25934886,19.48289728,19.61408188,20.72203389
Benin,BEN,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,10.22697472,9.813301803,9.791309172,11.46941958,10.79343737,7.981849381,11.30661294,11.41306251,10.86881395,11.06306544,11.70374941,13.48080429,13.8881252,14.29612581,17.08422498,16.16432909,12.9100344,12.55698708,14.00536459,13.34334545,12.2816697,12.91040444,15.12241928,15.35697474,17.06945218,16.70242515,12.10784452,12.36556601,13.39467172,12.76801614,12.45338505,11.98263042,12.7276805,12.2171018,13.33806442,13.39231141,13.26694099,13.52070776,12.56647129,18.0457038,18.75634821,21.60630613,21.25606482,21.76533589,20.49942461,21.61359239,21.15701378,19.51117718,17.66062208,17.91950793,18.00905314,18.13744911,16.95668469,17.24370929,16.41157749,16.38509544,15.70206831,15.10758585,14.64195675,16.3125612,16.29054905,16.46740038,17.01771681
Burkina Faso,BFA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,19.91384304,19.89452606,19.36764525,20.62366736,20.081443,18.69633896,19.02156505,22.08831344,22.71909824,22.44425759,22.25057016,24.24406021,23.31425941,26.20049782,22.97752191,25.9407461,26.46717857,21.30309581,21.45052635,20.66000477,19.81093021,18.76585808,18.8445168,20.35731232,19.96613192,19.22957502,20.72948663,22.54788433,21.51240488,22.12623347,20.3691496,19.25548723,20.25967662,19.85311005,20.41120315,19.94488937,18.49221774,19.68278497,17.85593746,22.46463776,21.87075455,20.63892465,20.63381451,22.62507399,22.65917572,20.16583243,20.50385279,22.5483344,20.5479237,22.95588049,26.05555203,28.37227091,26.86751038,24.09575158,24.92953925,24.36137578,24.88151737,25.14023722,25.58944338,27.1474945,32.5913248,32.00902381,29.326267
Bangladesh,BGD,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,6.97381557,6.794117749,7.963861762,7.804592863,10.42302446,10.72302475,10.31508557,8.102828412,9.262345515,9.186404009,8.729082831,7.68383878,6.064102106,12.11033749,13.37272816,11.61104731,14.44920279,16.7290739,14.30971269,15.68645481,20.11667622,19.80597195,20.04288227,20.87162487,21.4305496,20.32166342,20.37901415,19.60081727,19.93620857,19.7867069,20.14562584,21.11950454,21.71789053,22.93425605,23.46999243,23.58082445,21.68391657,21.86267009,22.66074237,22.37586554,22.27938268,22.58381187,22.83925437,22.47414879,22.77972001,23.29984422,24.09532051,24.50054101,24.7270013,25.29557218,24.95647673,25.0452996,25.30995939,26.30707016,26.31104678,26.83139483,31.06915138,31.24829196,31.98281359,32.85255263,32.91156508,33.31609439,33.9200805
Bulgaria,BGR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,53.77340933,51.93831332,57.9105918,60.31977622,59.95345885,62.5314079,64.00978393,61.46400484,60.96919815,59.39230707,51.27493358,39.75386883,39.05229084,32.68919371,29.94672755,17.88924626,16.2131442,21.77506969,21.28919467,22.33843907,22.67758298,23.98088173,24.00451182,24.31940238,23.13340524,24.23239858,25.37040252,26.2601834,24.99057855,26.56734051,23.7573249,25.03067818,25.38281963,23.51079779,23.4435739,24.02253109,24.44924725,23.97582861,22.4046812,21.6850864,21.8138157,20.84620479,25.98597663
Bahrain,BHR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,59.08816164,57.8034972,52.88151444,48.19139846,49.00919305,48.45240696,43.52361244,44.02583848,42.01836793,42.48869003,45.73458249,39.86437748,37.21149798,37.94498031,37.42496716,39.94764208,,,,,,,,,,,45.283488,45.91786529,50.40766295,43.09970005,44.97594689,49.51719039,47.54907133,47.94537566,46.51977333,40.15386671,39.3054656,41.17680576,42.86055831,42.08032951,39.87192705,44.9513925,47.8868999
"Bahamas, The",BHS,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.36600261,14.20429564,15.69922473,15.41727243,13.0898771,14.58290887,13.76488772,14.03762815,12.70932164,12.67777124,11.60613076,12.14887197,9.536141037,10.61685636,10.8702392,10.3431254,10.80905228,11.73375298,9.259451101,10.38951169,10.01005814,11.49987718,12.04514197,13.033907,12.83277161,13.14054098,11.25855614,13.28930796,13.08197658,12.29373459,13.27697244,11.96256125,10.20420556,8.24197125
Bosnia and Herzegovina,BIH,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.85528903,25.69999907,25.69999912,25.21762374,27.43017958,24.3568469,21.53739169,20.93761742,19.8153866,19.82008019,20.23349203,21.43283913,21.0300824,21.77243741,23.20141043,22.90764694,22.45400963,22.19325971,21.62320082,22.3236757,22.15636982,21.72645605,22.34435004,23.12107386,23.71135919,23.20379231,23.77756094,24.7736087,25.21484826
Belarus,BLR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.90069284,44.44444444,45.65217391,36.04060914,32.59146856,33.38220637,34.2198406,35.92617834,35.3050084,34.00374215,33.47894633,32.46395547,31.81538203,32.7410515,35.01894311,37.83878489,37.20703445,37.04727922,38.8242464,36.11762296,35.39302312,36.08878908,36.28285989,35.90385104,35.37894489,32.69269269,30.95872521,31.55426107,31.26553303,31.73707805,31.3516474,32.14457341,33.18684879
Belize,BLZ,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,22.78063096,19.99341238,23.28392219,20.78781521,18.45501963,18.42362027,20.69134768,19.21874284,18.80965472,21.13200462,21.16331382,20.46568337,23.21632554,23.29248748,22.93320836,23.43275632,21.2900324,21.3217471,21.42309454,20.37725806,19.82967724,19.56265641,22.01792115,20.95852107,19.99611111,17.37865948,17.48202591,16.95106055,18.86047755,19.98632075,20.09738577,19.32626599,18.02249065,18.52055785,15.60003941,15.62944075,15.81392189,14.74133228,15.59547266,14.24605206,13.79087905,14.24532382,16.5113726,16.77789284,15.87174207
Bermuda,BMU,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.300001113,8.100000443,6.499999361,8.700000872,11.07301006,10.30851114,9.584027138,9.568245741,9.618362688,9.951118868,,,,,6.597532363,5.667424558,5.118742188,5.299009118,5.004639859,5.124380479,5.349793642,5.509305385,5.701235971,6.370650363,5.634176242,5.411858794,
Bolivia,BOL,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,30.99652375,29.6942225,33.31937799,35.10604622,36.38461905,31.30637184,31.91139078,32.85796132,33.09087524,32.57731959,28.90544973,29.30518538,31.68645734,33.5774967,31.55135201,32.22412196,32.45554158,30.35198528,31.15420623,31.46093434,31.8845532,30.60623998,30.16087985,28.62844225,28.13335255,29.14275742,27.95488621,26.43510949,26.13339431,25.1438964,25.73902218,25.42067648,25.47356924,25.59649049,26.83964948,26.26921942,27.65224746,28.28979041,29.73663978,29.22868449,30.14394175,30.36910664,29.33421963,28.5181929,27.62549988,25.20241628,25.32635898,26.36997443,26.24658947,25.21027455,23.49193201,26.36093241,
Brazil,BRA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,28.31801806,32.28340248,30.91853993,34.3695207,32.40434005,29.02641768,28.51653957,28.69157885,30.63965734,31.5541595,32.18364511,32.94619739,32.79949329,31.69756576,33.34125631,33.96291543,34.86772561,34.01823141,35.61323707,37.11873227,39.19734145,40.08616167,42.55279838,42.32612935,46.25276511,43.59961123,42.01986896,42.90151986,42.26973138,42.28383058,33.27188339,31.76724281,34.13227184,37.29912041,35.42091972,23.38146039,22.34011456,22.59414762,22.11879038,21.74671125,23.00661863,22.63952791,22.49532782,23.08381782,24.30662329,24.17257828,23.54402167,23.12538041,23.08529376,21.87859263,23.26797735,23.10205097,22.13364737,21.22480995,20.47246275,19.36004398,18.35475828,18.18850231,18.74905145,18.75462758,19.5061184,20.15019916,20.69762288
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,16.01408595,17.61301645,18.23509756,18.89363003,18.69020248,17.00884086,16.94547077,16.59547202,17.71520515,18.20598007,15.88712522,14.44908448,13.62310385,14.05375754,13.3605948,18.70521374,17.39419291,15.25038324,14.61204819,14.356367,14.94505495,14.91796382,16.04179104,15.61242499,15.29391949,15.30642262,14.69143886,14.41976501,15.70493846,15.08782116,14.94567352,16.22307011,14.7293304,15.14130284,15.41318453,14.05099502,14.51252936,14.18734013,14.08734277,13.84800499,13.63369526,12.99140195,12.76901833,12.3350023,11.95943091,12.81518901,13.4078616,
Brunei Darussalam,BRN,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,90.51295772,89.51775917,90.46955434,84.76861929,80.60789998,84.20396582,84.82413584,81.84725459,79.68878418,77.31508266,73.47090537,71.81094643,58.8052029,59.50800738,52.26416488,59.80267746,61.55833412,59.572724,60.39907704,57.23513416,53.82837258,54.27100894,56.30412311,56.04534664,51.53385103,55.18459151,63.66977334,60.04244742,60.66201863,64.1475462,67.85316898,71.56033867,73.17648608,71.30481892,74.11302144,65.40518727,68.65703585,73.67291765,72.65682516,70.02517779,67.85206522,61.36235797,57.28835725,59.72051088,63.24364516,62.5153211,59.13363024,62.70156408,67.92558548
Bhutan,BTN,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,12.1716127,18.03116006,20.049159,22.14882141,22.42989538,20.43660874,20.82217772,26.66085994,23.55087942,24.410069,25.23955036,26.06822035,28.11138507,29.94272062,30.02935166,34.03760823,34.08035428,33.76657953,32.92645029,36.12229418,36.43680288,38.29767259,38.55862027,39.24947114,37.37951645,36.91708257,38.68351871,45.09978799,44.27249239,43.01215921,43.81481676,41.97670598,42.60880225,43.36691194,41.6525963,42.48708598,42.55111127,41.84296363,38.20346089,36.05893013,34.71449937,34.1984783,
Botswana,BWA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,13.33050601,12.29752544,11.37415779,10.61343434,13.49393796,19.20731707,14.36314363,14.98234224,12.42105263,19.5319532,27.55620015,27.58810573,27.61605035,26.88108587,27.89132003,31.01085094,31.82380216,32.46548323,37.41691379,42.72672852,43.890607,40.98497496,43.29457921,47.73107283,51.62782037,56.75522761,57.93878253,58.0254584,61.91323049,61.42301905,56.90656306,53.54514945,49.66163308,47.87950365,43.25959631,43.89287719,45.42680066,45.69430374,43.54526279,44.8018126,46.30053029,44.76779382,43.96509908,39.61641319,38.82195502,42.85495221,46.62434344,45.48442124,41.1096621,32.91486985,37.27893796,41.43221525,37.5753343,39.10622989,41.7777034,37.54399949,40.34516219,37.10100502,34.80032767,31.94710543,26.69049763,33.06300876,37.40124703
Central African Republic,CAF,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.57368072,24.50992414,26.63835543,27.52307537,24.1910676,19.48260861,22.12525135,21.63823744,20.73722455,20.55575596,20.51197122,20.44818877,20.16072098,19.04383597
Canada,CAN,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.71643906,26.83386866,27.87173944,29.50003752,28.44753546,27.57314103,27.90741045,28.39111972,29.21299152,28.84755448,28.68590191,29.3420195,25.07601821,26.35113316,27.1393406,26.6346688,26.61323518,27.13794246,24.41568255,23.29530055,24.02780289,24.62230596,24.07740788,,,
Central Europe and the Baltics,CEB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.12634054,31.09499552,30.93922166,30.3125683,29.50567684,28.88854586,28.6366574,28.21958776,28.40746224,29.26116709,29.33958595,29.86251384,29.93629282,30.02771614,29.62079566,29.90312412,30.67551311,29.7396138,28.53125588,29.41328601,29.64906544,29.15674843,28.16414818,27.91074659,27.59245532,27.11607954,26.89920811,28.38574378
Switzerland,CHE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.51526525,30.24103324,29.48293857,29.00420643,29.82716641,29.08023091,28.0284012,27.28671917,26.64900529,26.28133757,25.46819598,26.24425789,26.43397651,26.00642138,25.55151011,25.82707424,26.00279319,25.93094508,25.94630114,24.74278723,24.69452587,25.03152647,24.60389113,24.70221273,24.32391507,24.20112582,24.08997921,24.21769432,24.42395718,24.72115913,24.81226719,24.59815491,24.19669934
Channel Islands,CHI,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.722884725,8.035111411,7.923707117,8.016721997,7.670194695,8.692261807,
Chile,CHL,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,35.84994138,35.7962847,37.69244382,39.50317735,40.27418126,39.872833,39.20852359,39.74621967,41.17535104,42.77051355,41.35769227,38.59929595,37.79718625,40.98145526,48.73368335,38.13004979,39.97109783,36.11151892,36.00110185,37.29579136,37.29667512,36.16780731,35.86950557,38.56915317,38.36793064,39.27914067,35.36168745,36.20371602,41.19660101,39.92647812,39.21549328,37.37293784,35.26354656,34.99573878,36.58583929,38.0435456,30.84971785,29.99148687,27.32971967,27.02289724,27.83290073,28.48257298,28.51803459,29.7153366,32.75250218,34.03530241,38.68472919,37.46659702,31.98399142,31.88920115,33.46690302,32.44175423,30.55830033,29.43043731,28.90286707,27.88064041,26.77956505,27.38115607,27.86152277,27.20054002,29.88918967,31.34116566,31.96952421
China,CHN,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,44.39153799,31.93215938,31.31130614,33.0689738,35.32893394,35.0922722,37.87790544,33.88696912,31.11060146,35.41942717,40.27284292,41.91867801,42.76759129,42.82345258,42.43024366,45.35943412,45.03781035,46.70153846,47.71012083,46.95412402,48.05768599,45.97035134,44.62060587,44.22862363,42.93098887,42.7123223,43.51442912,43.31834296,43.52454228,42.4960168,41.03291877,41.48739573,43.11533291,46.17653547,46.16306115,46.75054238,47.10424318,47.09904599,45.79763622,45.35986344,45.53610318,44.79341234,44.45056753,45.62278485,45.90021167,47.02257848,47.55739757,46.88416923,46.97117236,45.95714729,46.49783114,46.52928947,45.42298074,44.17670454,43.08556811,40.84133997,39.5806215,39.85169845,39.68701182,38.58740546,37.8428218,39.29077292,39.92411382
Cote d'Ivoire,CIV,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,13.1387841,13.87897453,13.98191089,14.70020642,16.06380709,15.92723992,17.8855295,18.88138027,16.29886429,15.42808675,18.49365843,19.69280114,19.73825251,17.74280232,16.08930987,17.040144,16.3644515,15.15722466,16.47969351,17.06000286,19.74045317,18.58806839,21.28810476,21.48054473,19.54828584,19.74607539,21.2824299,22.3648454,22.65082949,21.7836967,26.26721076,24.59846336,24.44199929,22.75389254,21.03982393,20.76800001,13.71595707,15.36102779,14.64215314,14.36746803,13.93680252,14.17861603,14.50052813,15.21233121,15.52607505,16.22417645,16.58395439,16.48317083,17.40883615,18.01630715,15.97657938,16.76240073,17.73245519,18.97952957,19.84554862,20.12155783,20.82071381,19.80856265,19.11168189,21.67760706,21.01125455,20.84093618,21.98100708
Cameroon,CMR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,20.30074657,20.65997158,20.10421272,19.49806479,19.43376786,18.6360824,19.23077701,18.85589045,18.61726466,17.87021342,18.24269268,18.96028774,18.39328554,15.95704266,20.64172733,23.47184749,27.61077824,30.24625849,33.12452431,34.64162742,34.31804175,32.4863427,29.05298365,28.32096084,28.96384881,28.75507128,28.88150404,25.10875288,29.12908062,30.1027466,28.88443756,29.82662919,28.40748377,27.5442174,27.46055343,28.48270099,26.1843316,27.4755882,28.42339128,27.67688547,27.96574126,28.70456505,27.12517689,27.6000471,26.51125318,25.84451173,25.77675973,26.62487218,26.74194593,25.70780278,25.09148801,24.18214457,24.26219529,24.68223121,23.82687805,23.03806544,24.49813794,25.48003175
"Congo, Dem. Rep.",COD,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.87199273,16.86400697,32.35395775,21.25000027,20.44565031,18.71444886,22.4057063,30.01626655,32.61833688,28.85793841,31.78242349,31.79221049,29.73453615,30.20697115,33.2234554,33.01591566,38.68914996,40.94273752,40.25475638,41.28634596,42.97984786,41.7048639,41.16138163,42.19171622,43.25526011,39.65191584,41.21359589,45.34203535,48.64819111
